id_vehiculo,marca_vehiculo
773,VOVISIBLE
774,HUBO
775,KIA
776,DAEWOO
777,SEAT
778,WHITE
779,BLASER
78,KEMWORT
780,DAIHATSU
781,FORD.
782,RENAULT
783,LEXUS
784,DAIDATSU
785,HYUNDAY
786,MAZDA PROTEGE
787,VOLKWAGEN
788,DAMC
789,DAME
79,FREHITLINE
790,PLYMOUNTH
791,INFINITI
792,ROVER
793,ASIA HERS
794,BLAZER CHEVROLET
795,SSANG YONG
796,RANGE ROVER
797,KORANDO
798,MAXDA
799,CHANHE
8,DUCAT
80,VOLKSVAGEN/HONDA
800,PYUMOOTH
801,NISSASN
802,AUDIO
803,ALL AMERICAN
804,PORSCHE
805,MACISERVISON
806,NISSAN SUNNY
807,SUBARU MUTO
808,FOROL
809,CHAVROLET
81,LANDI ROVER
810,CHEVOLET
811,DTSUN
812,MUTSUBISHI
813,KENWORK
814,SANG YANG
815,WITE
816,JAGUAR
817,ILEGIBLE
818,CANTRE
819,JEPP
82,DAKAR
820,Y
821,PEUGEET
822,LANCIA
823,ASIA NERO
824,WOLSWAGEN
825,BYK
826,DOODGE
827,FREGTHLINER
828,HYOSUONG
829,S/MARCA
83,MAZADA
830,TERCEL
831,MISTRAB.
832,JRALING
833,FREINGLHINE
834,CHEBROLET
835,AHILA
836,FREIGNITER
837,FREINLINER
838,SSANGONG
839,WOLSKWAGEN
84,MAX
840,ECLIPSE
841,PLYMOUT
842,FREINGTLINE
843,PLANJIANG
844,CRYSLER
845,SATURN
846,QJIANG
847,PETERBIH
848,WALINS
849,JIEDA
85,MERCEDES BENNZ
850,MERCEDEDES BENZ
851,MOTOLAMA
852,CHEVI
853,SAMURAY
854,GEELLY
855,WESTERNSTAR
856,ODTRUCKS
857,HONLEI
858,FARGO
859,NO
86,QIANGJIANG
860,TORENTO
861,TANK
862,PLYMOTH
863,WOTRUCKS
864,DEOLUS
865,SANYANY
866,XAJAN
867,JIALIG
868,ASIHERO
869,DAYAG
87,CHEVRLOLET
870,SSANG YANG
871,COMET
872,TRACKER
873,SIALIN
874,MB
875,FAW JIABAD
876,SANSUNG
877,GALANT
878,BEALFUR
879,LIFAU
88,FICH
880,SKYNGO
881,BERVEHI
882,FREIGTLINE
883,TVS
884,MC
885,EXPLORER
886,HUOJIN
887,GOLFITO
888,JIALIN
889,CUCREST
89,PEGASO
890,A HERO
891,MOTOLANSER
892,SANLG
893,DACWOO
894,METRO
895,RACING
896,GHANA
897,LATERCOOLER
898,HYNDAY
899,GEO PRINS
9,MOTLANSA
90,FREDOOM
900,PIYMOUTH
901,MAZDA 6
902,FRONTIER
903,FREIGLTLINER
904,BMC
905,CHENGAN
906,UNI
907,HARDY
908,PATSUN
909,FLAME
91,KNLON
910,ECURA
911,MOTOROLA
912,ROBECA
913,LICAN
914,LANOS
915,JEET
916,PEGEOT
917,PEUGUEOT
918,WYUNG
919,WITER
92,APACHE
920,BARIUCHI
921,KAYAK
922,KUMOTO
923,VOLLWAGEN
924,ASHIA ERO
925,BAIW
926,FLALDANS
927,ATOGL
928,DISCOVERI
929,HILINER
93,PEGAZO
930,BERUCHI
931,SHINERAR
932,UD.NISSAN
933,WUYANNG
934,00000000000
935,LAND RAVER
936,EGLE
937,CHANAL
938,ZONESHIN
939,WUAYANG
94,FREIGHTLINNER
940,AVEBCS
941,KENWOTH
942,GENESEIS
943,HENWOITH
944,PETERBICT
945,MOSVESA
946,HYUNAY
947,CONCIN
948,ACURU
949,AFOLUS
95,CRISTER
950,BOYRA
951,BOA
952,PORSECHE
953,DM
954,TOYOTA
955,SIN MARCA
956,GMC
957,BAJAJ
958,PEUGEOT
959,ASIA
96,CHANGA
960,DAIHTSU
961,FIAT
962,VOLVO
963,COLT
964,KENWORTH
965,JANYANG
966,MB.
967,SANYAG
968,AUDI
969,FRUCHAUF
97,DOGE
970,SENT
971,CITIOEN
972,SUBURBAN
973,QIAIUIANG
974,LANEA
975,PYIMOOTH
976,TOWNER
977,DAEWOOD
978,VOLKSWAGER
979,DATZUN
98,FASJRAN
980,FREIGHITLINER
981,MARCEDES BENZ
982,B
983,MIC
984,DINO
985,GMS
986,CHRISLES
987,YANMAHA
